epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,11725.8,0.20561,0.14581,0.79394,0.99983,0.99984,0.995,0.99497,0.08922,0.07511,0.76058,0.007327,0.007327,0.007327
83,11868.2,0.20464,0.14593,0.79409,0.99983,0.99984,0.995,0.99497,0.08904,0.07517,0.76059,0.007294,0.007294,0.007294
84,12010.5,0.20639,0.14874,0.79418,0.99983,0.99984,0.995,0.99497,0.08896,0.07545,0.76084,0.007261,0.007261,0.007261
85,12153,0.20476,0.14425,0.79436,0.99983,0.99984,0.995,0.99497,0.08875,0.07519,0.76077,0.007228,0.007228,0.007228
86,12295.7,0.20892,0.14673,0.79529,0.99983,0.99984,0.995,0.99497,0.08871,0.07557,0.76067,0.007195,0.007195,0.007195
87,12438,0.20519,0.14323,0.79394,0.99983,0.99984,0.995,0.99498,0.089,0.07573,0.76069,0.007162,0.007162,0.007162
88,12580.5,0.20386,0.14494,0.79431,0.99983,0.99984,0.995,0.99497,0.08889,0.07587,0.76077,0.007129,0.007129,0.007129
89,12722.9,0.20635,0.14515,0.79487,0.99983,0.99984,0.995,0.99497,0.08908,0.07594,0.76076,0.007096,0.007096,0.007096
90,12865,0.2056,0.14387,0.79403,0.99983,0.99984,0.995,0.99497,0.08841,0.07568,0.76077,0.007063,0.007063,0.007063
91,13007.9,0.20323,0.14487,0.79334,0.99983,0.99984,0.995,0.99496,0.08842,0.07564,0.761,0.00703,0.00703,0.00703
92,13150.6,0.19797,0.14322,0.79304,0.99983,0.99984,0.995,0.99496,0.08826,0.07532,0.76116,0.006997,0.006997,0.006997
93,13293,0.19959,0.1418,0.79171,0.99983,0.99984,0.995,0.99496,0.08829,0.07533,0.76107,0.006964,0.006964,0.006964
94,13435.3,0.19716,0.14243,0.79274,0.99983,0.99984,0.995,0.99497,0.08769,0.07494,0.76102,0.006931,0.006931,0.006931
95,13577.6,0.19526,0.13822,0.79244,0.99983,0.99984,0.995,0.99497,0.08771,0.07503,0.76108,0.006898,0.006898,0.006898
96,13720.2,0.19527,0.13993,0.79215,0.99983,0.99984,0.995,0.99497,0.08718,0.07473,0.76106,0.006865,0.006865,0.006865
97,13862.7,0.19814,0.14026,0.79459,0.99983,0.99984,0.995,0.99496,0.087,0.07455,0.76103,0.006832,0.006832,0.006832
98,14005.2,0.20273,0.14342,0.79381,0.99983,0.99984,0.995,0.99496,0.08704,0.07401,0.761,0.006799,0.006799,0.006799
99,14147.8,0.19671,0.13971,0.79278,0.99983,0.99984,0.995,0.99496,0.08699,0.07438,0.76099,0.006766,0.006766,0.006766
100,14290.6,0.19445,0.13988,0.79243,0.99983,0.99984,0.995,0.99496,0.08685,0.07399,0.76094,0.006733,0.006733,0.006733
101,14434,0.19337,0.14026,0.79155,0.99983,0.99984,0.995,0.99495,0.08675,0.07383,0.76109,0.0067,0.0067,0.0067
